Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
CHILDRENS HOSPITAL DIALYSIS,12306,13300,1600 7TH AVENUE SOUTH ,BIRMINGHAM,AL,35233,8,No Score,No Rate,N/A,86.36%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,10,-,10,3,-,1.127,23,11,7.204,1.01,17,16.824,Achievement,5,5,35,1.50%,17-11-1982,NOT A CHAIN,06-03-2012
FMC CAPITOL CITY,12500,-,255 S JACKSON STREET ,MONTGOMERY,AL,36104,8,3,12.91%,Achievement,95.38%,Achievement,52.62%,53.71%,Achievement,71.06%,74.34%,Achievement,52.00%,58.29%,Achievement,44.59%,40.72%,Improvement,52.46%,37.45%,Improvement,9,-,9,10,-,10,3,-,1.06,154,48,45.262,1.176,43,36.568,Achievement,5,5,43,1.00%,01-09-1976,FRESENIUS MEDICAL CARE,06-03-2012
GADSDEN DIALYSIS,12501,-,409 SOUTH FIRST STREET ,GADSDEN,AL,35901,8,4,11.11%,Achievement,98.35%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.241,83,30,24.179,1.066,28,26.258,Achievement,5,5,42,1.00%,01-09-1976,DAVITA,18-11-2009
TUSCALOOSA UNIVERSITY DIALYSIS,12502,-,220 15TH STREET ,TUSCALOOSA,AL,35401,8,4,11.64%,Improvement,97.23%,Achievement,66.43%,58.34%,Achievement,80.23%,76.06%,Achievement,67.46%,67.83%,Achievement,69.09%,69.12%,Achievement,80.71%,72.84%,Achievement,10,-,9,10,-,10,0,-,1.33,158,66,49.614,1.006,47,46.705,Achievement,5,5,54,0.50%,21-10-1977,DAVITA,17-11-2009
PCD MONTGOMERY,12505,-,1001 FOREST AVENUE ,MONTGOMERY,AL,36106,8,9,3.66%,Achievement,98.01%,Achievement,65.61%,68.56%,Achievement,81.84%,87.49%,Achievement,56.15%,38.23%,Improvement,59.48%,55.71%,Achievement,67.55%,64.84%,Achievement,8,-,9,10,-,10,10,-,0.505,87,11,21.79,1.095,34,31.055,Achievement,5,5,62,No Reduction,14-12-1977,DAVITA,16-03-2012
DOTHAN DIALYSIS,12506,-,216 GRACELAND DR. ,DOTHAN,AL,36305,8,9,4.32%,Achievement,99.48%,Achievement,70.68%,67.34%,Achievement,82.49%,87.67%,Achievement,76.84%,71.67%,Achievement,70.82%,69.62%,Achievement,83.65%,78.23%,Achievement,10,-,9,10,-,10,4,-,1.047,70,19,18.143,1.033,23,22.259,Achievement,5,5,79,No Reduction,28-11-1977,DAVITA,24-10-2009
FMC MOBILE,12507,-,2620 OLD SHELL RD ,MOBILE,AL,36607,8,10,2.15%,Achievement,99.21%,Achievement,48.46%,57.56%,Achievement,71.73%,82.14%,Achievement,43.67%,62.60%,Achievement,49.10%,55.46%,Achievement,54.54%,65.84%,Achievement,10,-,9,10,-,10,8,-,0.744,90,15,20.15,0.886,24,27.101,Achievement,5,5,62,No Reduction,04-01-1979,FRESENIUS MEDICAL CARE,06-03-2012
BIRMINGHAM EAST DIALYSIS,12508,-,1105 EAST PARK DRIVE ,BIRMINGHAM,AL,35235,8,0,20.18%,Achievement,95.15%,Achievement,51.46%,59.97%,Achievement,80.14%,83.17%,Achievement,70.77%,58.06%,Achievement,51.29%,50.39%,Achievement,50.61%,52.06%,Achievement,8,-,9,10,-,10,10,-,0.514,78,10,19.469,0.747,14,18.752,Achievement,5,5,45,1.00%,28-06-1979,DAVITA,02-01-1980
FMC NORTH ALABAMA,12509,-,1311 N MEMORIAL PKWY #200 ,HUNTSVILLE,AL,35801,8,8,5.22%,Achievement,97.19%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.837,44,9,10.754,1.661,33,19.87,Achievement,5,5,77,No Reduction,16-07-1979,FRESENIUS MEDICAL CARE,06-03-2012
FMC SELMA,12512,-,905 MEDICAL CENTER PARKWAY ,SELMA,AL,36701,8,8,4.79%,Achievement,95.38%,Achievement,52.79%,No Rate,Achievement,68.70%,No Rate,Achievement,45.50%,No Rate,Achievement,38.95%,No Rate,Achievement,49.05%,No Rate,Achievement,9,-,9,10,-,10,3,-,1.06,88,22,20.76,0.697,10,14.347,Achievement,5,5,54,0.50%,25-08-1980,FRESENIUS MEDICAL CARE,25-08-1980
